,name,sku,price
1169,VW Bug Ball Joint Disc Brake Spindles, 22-2952,$129.99
1170,Empi VW Baywindow Bus 68-79 Drop Spindles, 22-2948,$299.99
1171,Empi VW Forged HD Bug King Pin Spindle Kit, 22-2976,$319.99
1172,"Empi 3"" Billet Aluminum VW Wheel Spacers", 00-9485,$149.95
1173,KYB VW Gas Shocks For Bug, 97-1009,$35.99
1174,14mm VW Style Lug Bolt With 17mm Head And Ball Seat, 70-2863,$10.95
1175,1776cc or 1915cc Turnkey VW Engine, AE1776TK10011,"$8,085.00"
1176,2007cc or 2028cc Turnkey VW Engine, AE2007TK100.1,"$9,085.00"
1177,2110cc Turnkey VW Engine, AE2110TK100,"$9,178.00"
1178,2276cc Turnkey VW Engine, AE2276TKFK7044.4,"$9,750.00"
1179,4 Puck VW Racing Clutch Disc, 00-4091,$82.99
1180,Benco VW Transaxles, Stock Rebuild,"$1,199.95"
1181,Bugpack Swing Axle VW Transmission Super Differential, B508110,$179.99
1182,VW IRS Transmission Super Differential, B507210,$209.99
1183,Heavy Duty Swingaxle VW Side Covers, 16-9903,$56.99
1184,Heavy Duty IRS Transmission VW Side Cover, 16-9905,$59.99
1185,Empi VW Racing Transaxle Cross Shafts, 18-1041,$31.99
1186,Empi Heavy Duty VW Transmission Cross Shafts, 18-1055,$31.99
1187,Empi VW Transaxle Cross Shafts, 98-2011,$16.99
1188,VW Gearshift Housing And Gasket Set, 98-3006-B,$38.99
1189,VW Transaxle Shift Lever, 98-3015-B,$15.29
1190,VW Bus Clutch Cable Clevis Pin, 98-7081-B,$3.19
1191,Forged Clutch Cable Arms For VW Type 1/ Type 2, 16-9908,$12.29
1192,VW Clutch Operating Springs, 98-1421-B,$1.75
1193,VW Swing Axle Side Cover Retainers, 16-9906,$72.99
1194,IRS VW Transaxle Pivot Mount Bolt And Washer, 17-2826,$6.59
1195,VW Transmission Gasket Kits For Type 1/ Type 2, 98-2077,$14.89
1196,VW Transaxle Lock Nut Kit, 00-9522,$6.99
1197,VW Transaxle Oil Seal, 98-3009-B,$1.95
1198,VW Nose Cone Boot, 98-2072-B,$11.29
1199,VW Transaxle Syncho Rings, 98-8644,$14.99
1200,VW Transaxle Ring Gear Bolts, 98-5144-B,$1.49
1201,VW Transmission Carrier Mounting Bolt and Washer, 17-2828,$3.79
1202,Bolt On VW Bowden Tube Brackets, 16-9904,$5.79
1203,VW Transmission Side Cover Gasket, 98-8623-B,$0.99
1204,14mm VW Style Lug Bolt With 17mm Head And Ball Seat, 70-2863,$10.95
1205,1776cc or 1915cc Turnkey VW Engine, AE1776TK10011,"$8,085.00"
1206,2007cc or 2028cc Turnkey VW Engine, AE2007TK100.1,"$9,085.00"
1207,2110cc Turnkey VW Engine, AE2110TK100,"$9,178.00"
1208,2276cc Turnkey VW Engine, AE2276TKFK7044.4,"$9,750.00"
1209,4 Puck VW Racing Clutch Disc, 00-4091,$82.99
1210,Empi VW Chromoly Axles, 16-2202,$245.99
1211,14mm VW Style Lug Bolt With 17mm Head And Ball Seat, 70-2863,$10.95
1212,1776cc or 1915cc Turnkey VW Engine, AE1776TK10011,"$8,085.00"
1213,2007cc or 2028cc Turnkey VW Engine, AE2007TK100.1,"$9,085.00"
1214,2110cc Turnkey VW Engine, AE2110TK100,"$9,178.00"
