,sku,product_name,price
51, 102-10.4,"JPS Aircooled Porsche 356 912 CNC Billet 93/94mm ""Sport Plus"" Complete Cylinder Heads inc 8mm Head Studs","$6,884.00"
52, 102-02,LN Engineering Porsche 356 912 Performer Camshaft,$425.00
53, 102-04,LN Engineering Porsche 356 912 Performer Plus Camshaft,$575.00
54, 102-01,LN Engineering Porsche 356 912 Torquer Camshaft,$425.00
55, 102-03,LN Engineering Porsche 356 912 Vintage Race Camshaft,$575.00
56, 102-80,Porsche 356 80mm Nickies,"$2,870.00"
57, 102-80.A,Porsche 356 80mm Nickies inc.  8.5:1 JE Piston set,"$3,729.00"
58, 102-82.5,Porsche 356 912 82.50mm Nickies,"$2,870.00"
59, 102-82.5.1,Porsche 356 912 82.5mm Nickies inc.  9:1 JE Piston set. 22 Degree Heads 57.5-60.5cc chambers,"$3,729.00"
60, 102-82.5.2,Porsche 356 912 82.5mm Nickies inc.  9:1 JE Piston set. 30 Degree Heads 57.5-60.5cc chambers,"$3,729.00"
61, 102-83.5,Porsche 356 912 83.5mm Nickies,"$2,870.00"
62, 102-85,Porsche 356 912 85mm Nickies,"$2,870.00"
63, 102-86SF,Porsche 356 912 86mm Nickies,"$2,870.00"
64, 102-86SF.A,Porsche 356 912 86mm Nickies inc.  9.5:1 JE Piston set. 57.5-60.5cc chambers,"$3,729.00"
65, 102-86SF.B,Porsche 356 912 86mm Nickies inc.  9.5:1 JE Piston set. 60.5-63.5cc chambers,"$3,729.00"
66, 102-86SF.C,Porsche 356 912 86mm Nickies inc.  9.5:1 JE Piston set. 63.5-66.5cc chambers,"$3,729.00"
67, 102-88,Porsche 356 912 88mm; machine-in Nickies,"$2,870.00"
68, 102-90.A,Porsche 356 912 90mm Nickies inc.  9.5:1 JE Piston set. 57.5-60.5cc chambers,"$3,729.00"
69, 102-90.B,Porsche 356 912 90mm Nickies inc.  9.5:1 JE Piston set. 60.5-63.5cc chambers,"$3,729.00"
70, 102-90.C,Porsche 356 912 90mm Nickies inc.  9.5:1 JE Piston set. 63.5-66.5cc chambers,"$3,729.00"
71, 102-90,Porsche 356 912 90mm; machine-in Nickies,"$2,870.00"
72, 102-91.5,Porsche 356 912 91.5mm; machine-in Nickies Cylinder Set (no pistons),"$3,435.00"
73, 102-91.A,Porsche 356 912 91mm Nickies Cylinder and Piston Set inc.  9.5:1 JE Pistons (57.5-60.5cc chambers),"$3,729.00"
74, 102-91.B,Porsche 356 912 91mm Nickies Cylinder and Piston Set inc.  9.5:1 JE Pistons Set (60.5-63.5cc chambers),"$3,729.00"
75, 102-91.C,Porsche 356 912 91mm Nickies Cylinder and Piston Set inc.  9.5:1 JE Pistons Set (63.5-66.5cc chambers),"$3,729.00"
76, 102-91,Porsche 356 912 91mm; machine-in Nickies,"$2,870.00"
77, 102-93CRE,Porsche 356 912 93mm; machine-in Nickies Cylinder Set (no pistons),"$2,870.00"
78, 102-94CRE,Porsche 356 912 94mm; machine-in Nickies Cylinder Set (no pistons),"$3,435.00"
79, 107-94-5.25,"Porsche 356 912 base shim for 102-90, 102-91 Nickies, copper .010"", set of 4 pcs",$72.50
80, 107-94-5.50,"Porsche 356 912 base shim for 102-90, 102-91 Nickies, copper .020"", set of 4 pcs",$72.50
81, 107-94-5.75,"Porsche 356 912 base shim for 102-90, 102-91 Nickies, copper .030"", set of 4 pcs",$72.50
82, 107-94-5.100,"Porsche 356 912 base shim for 102-90, 102-91 Nickies, copper .040"", set of 4 pcs",$72.50
83, 102-20,Porsche 356/912 Twin Plug Programmable Distributor for 6 and 12 Volt Models,"$1,495.00"
84, 0084001S74,Porsche 74mm 356/912 4340 Chromoly Forged Crankshaft ,"$1,367.95"
85, PS86-003N,Porsche® 356 912 86mm|1720cc Nickies™ Cylinder and Mahle® Piston Set (Slip-in case register) 57.5-60.5cc,"$4,600.00"
86, PS86-004N,Porsche® 356 912 86mm|1720cc Nickies™ Cylinder and Mahle® Piston Set (Slip-in case register) 60.5-63.5cc,"$4,600.00"
87, PS86-005N,Porsche® 356 912 86mm|1720cc Nickies™ Cylinder and Mahle® Piston Set (Slip-in case register) 63.5-66.5cc,"$4,600.00"
88, PS91-001N,Porsche® 356 912 91mm|1925cc Nickies™ Cylinder and Mahle® Piston Set (Machine-in case & head register**) 57.5-60.5cc,"$4,600.00"
89, PS91-002N,Porsche® 356 912 91mm|1925cc Nickies™ Cylinder and Mahle® Piston Set (Machine-in case & head register**) 60.5-63.5cc,"$4,600.00"
90, PS91-003N,Porsche® 356 912 91mm|1925cc Nickies™ Cylinder and Mahle® Piston Set (Machine-in case & head register**) 63.5-66.5cc,"$4,600.00"
91, 102-00,Replacement Porsche 356 912 Camshaft Follower Lifter,$37.50
92, 8-10912L,Scat Billet 74mm Crankshaft for Porsche 356/912,"$2,339.00"
93, 103-80,Porsche 911 914-6 2.0 80mm Nickies (std 2.0 head registers),"$4,300.00"
94, 103-80.1,Porsche 911 914-6 2.0 80mm Nickies inc. 9.5:1 JE Piston set,"$5,589.00"
95, 103-80.2,Porsche 911 914-6 2.0 80mm Nickies inc. 10:1 JE Piston set,"$5,589.00"
96, 103-80/2.2,Porsche 911 914-6 2.0 80mm Nickies (2.2/2.4 head registers); previously 103-80U,"$4,300.00"
97, 103-81,Porsche 911 914-6 2.0 81mm Nickies (std 2.0 head registers),"$4,300.00"
98, 103-81.1,Porsche 911 914-6 2.0 81mm Nickies inc.  9.5:1 JE Piston set,"$5,589.00"
99, 103-81.2,Porsche 911 914-6 2.0 81mm Nickies inc. 10.5:1 JE Piston set,"$5,589.00"
100, 103-81/2.2,Porsche 911 914-6 2.0 81mm Nickies (2.2/2.4 head registers); previously 103-81U,"$4,300.00"
101, 103-84,Porsche 911 2.2/2.4 84mm Nickies,"$4,300.00"
102, 103-84.1,Porsche 911 2.2 84mm Nickies inc. 9.5:1 JE Piston set,"$5,589.00"
103, 103-84.2,Porsche 911 2.2 84mm Nickies inc. 10.5:1 JE Piston set,"$5,589.00"
104, 103-84.3,Porsche 911 2.4 84mm Nickies inc. 9.5:1 JE Piston set,"$5,589.00"
105, 103-84.4,Porsche 911 2.4 84mm Nickies inc. 10.5:1 JE Piston set,"$5,589.00"
106, 103-85,Porsche 911 2.2/2.4L 85mm Nickies,"$4,300.00"
107, 103-85.1,Porsche 911 2.2 85mm Nickies inc. 9.5:1 JE Piston set,"$5,589.00"
108, 103-85.2,Porsche 911 2.2 85mm Nickies inc. 10.5:1 JE Piston set,"$5,589.00"
109, 103-85.3,Porsche 911 2.4 85mm Nickies inc. 9.5:1 JE Piston set,"$5,589.00"
110, 103-85.4,Porsche 911 2.4 85mm Nickies inc. 10.5:1 JE Piston set,"$5,589.00"
111, 103-86,Porsche 911 2.2/2.4L 86mm Nickies,"$4,300.00"
112, 103-87.5,Porsche 911 2.2/2.4L 87.5mm Nickies,"$4,300.00"
113, 103-87.5.1,Porsche 911 2.2 87.5mm Nickies incl. 9.5:1 JE Piston set,"$5,589.00"
114, 103-87.5.2,Porsche 911 2.2 87.5mm Nickies inc. 10.5:1 JE Piston set,"$5,589.00"
115, 103-87.5.3,Porsche 911 2.4 87.5mm Nickies inc. 9.5:1 JE Piston set,"$5,589.00"
116, 103-87.5.4,Porsche 911 2.4 87.5mm Nickies inc. 10.5:1 JE Piston set,"$5,589.00"
117, 103-89,Porsche 911 2.7 89mm Nickies,"$4,300.00"
118, 103-89.2,Porsche 911 2.5SS 89mm Nickies inc. 10.5:1 JE Piston set,"$5,589.00"
119, 103-90,Porsche 911 2.7 90mm Nickies,"$4,300.00"
120, 103-90.1,Porsche 911 2.7 90mm Nickies inc. 9.5:1 JE Piston set,"$5,589.00"
121, 103-90.2,Porsche 911 2.7 90mm Nickies inc. 10.5:1 JE Piston set,"$5,589.00"
122, 103-92,Porsche 911 2.7 92mm Nickies,"$4,300.00"
123, 103-92.1,Porsche 911 2.7 92mm Nickies inc. 9.5:1 JE Piston set,"$5,589.00"
124, 103-92.2,Porsche 911 2.7 92mm Nickies inc. 10.5:1 JE Piston set,"$5,589.00"
125, 103-93,Porsche 911 2.7 93mm Nickies,"$4,300.00"
126, 103-93.1,Porsche 911 2.7 93mm Nickies inc. 9.5:1 JE Piston set,"$5,589.00"
127, 103-93.2,Porsche 911 2.7 93mm Nickies inc. 10.5:1 JE Piston set,"$5,589.00"
128, 103-93.5,Porsche 911 2.7 93.5mm Nickies,"$4,500.00"
129, 107-07,Custom Aircooled Nickies Cylinder Services,$0.00
130, 107-KS,Add Knock Sensor Bosses to Nickies Cylinders,$400.00
131, 304-00-CP,"Custom Six (4) Cylinder CP X-Series Piston set including rings, pins, and clips.","$1,320.00"
132, 306-00,"Custom Six (6) Cylinder JE Piston set including rings, pins, and clips.","$1,375.00"
133, 306-00-CP,"Custom Six (6) Cylinder CP X-Series Piston set including rings, pins, and clips.","$1,975.00"
134, 103-100.1,Porsche 911 3.0 100mm Nickies inc. 9.5:1 JE Piston set,"$5,589.00"
135, 103-100.10,Porsche 911 3.0 100mm Nickies inc. 11.5:1 JE Piston set,"$5,589.00"
136, 103-100.2,Porsche 911 3.0 100mm Nickies inc. 10.5:1 JE Piston set,"$5,589.00"
137, 103-100.3,Porsche 911 3.2 100mm Nickies inc. 9.5:1 JE Piston set,"$5,589.00"
138, 103-100.4,Porsche 911 3.2 100mm Nickies inc.  10.5:1 JE Piston set,"$5,589.00"
139, 103-100.5,Porsche 911 3.2 100mm Nickies inc.  11.5:1 JE Piston set,"$5,589.00"
140, 103-100.6,Porsche 911 3.3 100mm Nickies inc. 7.5:1 JE Piston set,"$5,589.00"
141, 103-100.7,Porsche 911 3.3 100mm Nickies inc.  8.0:1 JE Piston set,"$5,589.00"
142, 103-100.8,Porsche 911 3.0 Turbo 100mm Nickies inc. 7.0:1 JE Piston set,"$5,589.00"
143, 103-100.9,Porsche 911 3.0 Turbo 100mm Nickies inc. 7.5:1 JE Piston set,"$5,589.00"
144, 103-100/103,Porsche 911 930 3.3/3.5 slip-fit 100mm Nickies,"$4,300.00"
145, 103-100/105,Porsche 911 930 3.3/3.5 100mm Nickies machine-in 105mm case register,"$4,300.00"
146, 103-102.1,Porsche 911 3.0 102mm Nickies inc. 10.5:1 JE Piston set,"$5,589.00"
147, 103-102.2,Porsche 911 3.0 102mm Nickies inc. 11.5:1 JE Piston set,"$5,589.00"
148, 103-102.3,Porsche 911 3.2 102mm Nickies inc. 10.5:1 JE Piston set,"$5,589.00"
149, 103-102.4,Porsche 911 3.2 102mm Nickies inc. 11.5:1 JE Piston set,"$5,589.00"
150, 103-102.7.1,Porsche 911 3.0 102.7mm Nickies inc. 10.5:1 JE Piston set,"$6,589.00"
151, 103-102.7.2,Porsche 911 3.0 102.7mm Nickies inc. 11.5:1 JE Piston set,"$6,589.00"
152, 103-102.7.3,Porsche 911 3.2 102.7mm Nickies inc. 10.5:1 JE Piston set,"$6,589.00"
153, 103-102.7.4,Porsche 911 3.2 102.7mm Nickies inc. 11.5:1 JE Piston set,"$6,589.00"
154, 103-102.7/106.5,Porsche 911 930 3.5/3.7 102.7mm Nickies machine-in 106.50mm case register,"$5,300.00"
155, 103-102/106.5,Porsche 911 930 3.5/3.7 102mm Nickies machine-in 106.50mm case register,"$4,300.00"
156, 103-102/107,Porsche 911 930 3.5/3.7 102mm Nickies machine-in 107mm case register,"$4,500.00"
157, 103-95,Porsche 911 930 3.0/3.2 95mm Nickies,"$4,300.00"
158, 103-95.1,Porsche 911 3.0 95mm Nickies inc. 9.5:1 JE Piston set,"$5,589.00"
159, 103-95.2,Porsche 911 3.0 95mm Nickies inc. 10.5:1 JE Piston set,"$5,589.00"
160, 103-95.3,Porsche 911 3.0 95mm Nickies inc. 11.0:1 JE Piston set,"$5,589.00"
161, 103-95.4,Porsche 911 3.2 95mm Nickies inc. 9.5:1 JE Piston set,"$5,589.00"
162, 103-95.5,Porsche 911 3.2 95mm Nickies inc. 10.5:1 JE Piston set,"$5,589.00"
163, 103-95.6,Porsche 911 3.2 95mm Nickies inc. 11.5:1 JE Piston set,"$5,589.00"
164, 103-95.7,Porsche 911 3.0 Turbo 95mm Nickies inc. 6.5:1 JE Piston set,"$5,589.00"
165, 103-95.8,Porsche 911 3.0 Turbo 95mm Nickies inc. 7.0:1 JE Piston set,"$5,589.00"
166, 103-97,Porsche 911 930 3.3 97mm Nickies,"$4,300.00"
167, 103-97.1,Porsche 911 3.3 97mm Nickies inc. 7.0:1 JE Piston set,"$5,589.00"
168, 103-97.2,Porsche 911 3.3 97mm Nickies inc. 7.5:1 JE Piston set,"$5,589.00"
169, 103-97.3,Porsche 911 3.3 97mm Nickies Cylinder and Piston Set inc. 8.0:1 JE Pistons,"$5,589.00"
170, 103-97.4,Porsche 911 3.3 97mm Nickies Cylinder and Piston Set inc. 8.5:1 JE Pistons,"$5,589.00"
171, 103-98,Porsche 911 930 3.2/3.4 98mm Nickies,"$4,300.00"
172, 103-98.1,Porsche 911 3.0 98mm Nickies inc. 9.5:1 JE Piston set,"$5,589.00"
173, 103-98.10,Porsche 911 3.0 Turbo 98mm Nickies inc. 7.5:1 JE Piston set,"$5,589.00"
174, 103-98.11,Porsche 911 3.0 98mm Nickies inc. 11.5:1 JE Piston set,"$5,589.00"
175, 103-98.2,Porsche 911 3.0 98mm Nickies inc. 10.5:1 JE Piston set,"$5,589.00"
176, 103-98.3,Porsche 911 3.2 98mm Nickies inc. 9.5:1 JE Piston set,"$5,589.00"
177, 103-98.4,Porsche 911 3.2 98mm Nickies inc. 10.5:1 JE Piston set,"$5,589.00"
178, 103-98.5,Porsche 911 3.3 98mm Nickies inc.  7.5:1 JE Piston set,"$5,589.00"
179, 103-98.6,Porsche 911 3.3 98mm Nickies inc. 8.0:1 JE Piston set,"$5,589.00"
180, 103-98.7,Porsche 911 3.2 98mm Nickies inc. 11.5:1 JE Piston set,"$5,589.00"
181, 103-98.8,Porsche 911 3.3 98mm Nickies inc. 8.5:1 JE Piston set,"$5,589.00"
182, 103-98.9,Porsche 911 3.0 Turbo 98mm Nickies inc. 7.0:1 JE Piston set,"$5,589.00"
183, 104-100,Porsche 911 3.6 100mm Nickies,"$4,300.00"
184, 104-100.1,Porsche 911 3.6 100mm Nickies inc. 11.5:1 JE Piston set,"$5,589.00"
185, 104-100.2,Porsche 911 3.6 100mm Nickies inc. 12.5:1 JE Piston set,"$5,589.00"
186, 104-102.1,Porsche 911 3.6 102mm Nickies inc. 11.5:1 JE Piston set,"$5,589.00"
187, 104-102.2,Porsche 911 3.6 102mm Nickies inc. 12.5:1 JE Piston set,"$5,589.00"
188, 104-102.7.1,Porsche 911 3.6 102.7mm Nickies Cylinder and Piston Set inc. 11.5:1 JE Pistons,"$6,589.00"
189, 104-102.7.2,Porsche 911 3.6 102.7mm Nickies Cylinder and Piston Set inc. 12.5:1 JE Pistons,"$6,589.00"
190, 104-102.7/109,Porsche 911 3.6 102.70mm Nickies machine-in 109mm case register,"$4,300.00"
191, 104-102/107,Porsche 911 3.6 102mm Nickies slip-fit 107mm case register,"$4,300.00"
192, 104-102/109,Porsche 911 3.6 102mm Nickies machine-in 109mm case register,"$4,300.00"
193, 104-103.1,"Porsche 911 3.6 103mm (4.060"") Nickies inc. 11.5:1 JE Piston set","$5,589.00"
194, 104-103.2,"Porsche 911 3.6 103mm (4.060"") Nickies inc. 12.5:1 JE Piston set","$5,589.00"
195, 104-103/107,"Porsche 911 3.6 103mm (4.060"") Nickies slip-fit 107mm case register","$4,300.00"
196, 104-104,Porsche 911 3.6 104mm Nickies machine-in 109mm case register,"$4,300.00"
197, 104-104.1,Porsche 911 3.6 104mm Nickies inc. 11.5:1 JE Piston set,"$5,589.00"
198, 104-104.2,Porsche 911 3.6 104mm Nickies inc. 12.5:1 JE Piston set,"$5,589.00"
199, 104-105,"Porsche 911 3.6 105mm (4.135"") Nickies machine-in 109mm case register","$4,300.00"
200, 104-105.1,"Porsche 911 3.6 105mm (4.135"") Nickies inc. 11.5:1 JE Piston set","$5,589.00"
201, 104-105.2,"Porsche 911 3.6 105mm (4.135"") Nickies inc. 12.5:1 JE Piston set","$5,589.00"
202, 104-106,"Porsche 911 3.6 106mm (4.175"") Nickies machine-in 109mm case register","$5,300.00"
203, 104-106.1,"Porsche 911 3.6 106mm (4.175"") Nickies inc. 11.5:1 JE Piston set","$6,589.00"
204, 104-106.2,"Porsche 911 3.6 106mm (4.175"") Nickies inc. 12.5:1 JE Piston set","$6,589.00"
205, 107-07,Custom Aircooled Nickies Cylinder Services,$0.00
206, 107-103.100,"Porsche 911 Copper Base Shim w/4.056"" ID .040"" thick, Set of 6",$108.75
207, 107-103.25,"Porsche 911 Copper Base Shim w/4.056"" ID .010"" thick, Set of 6",$108.75
208, 107-103.50,"Porsche 911 Copper Base Shim w/4.056"" ID .020"" thick, Set of 6",$108.75
209, 107-103.75,"Porsche 911 Copper Base Shim w/4.056"" ID .030"" thick, Set of 6",$108.75
210, 107-105.100,"Porsche 911 Copper Base Shim w/4.134"" ID .040"" thick, Set of 6",$108.75
211, 107-105.25,"Porsche 911 Copper Base Shim w/4.134"" ID .010"" thick, Set of 6",$108.75
212, 107-105.50,"Porsche 911 Copper Base Shim w/4.134"" ID .020"" thick, Set of 6",$108.75
213, 107-105.75,"Porsche 911 Copper Base Shim w/4.134"" ID .030"" thick, Set of 6",$108.75
214, 107-106-50.100,"Porsche 911 Copper Base Shim w/4.193"" ID .040"" thick, Set of 6",$108.75
215, 107-106-50.25,"Porsche 911 Copper Base Shim w/4.193"" ID .010"" thick, Set of 6",$108.75
216, 107-106-50.50,"Porsche 911 Copper Base Shim w/4.193"" ID .020"" thick, Set of 6",$108.75
217, 107-106-50.75,"Porsche 911 Copper Base Shim w/4.193"" ID .030"" thick, Set of 6",$108.75
218, 107-107.100,"Porsche 911 Copper Base Shim w/4.213"" ID .040"" thick, Set of 6",$108.75
219, 107-107.25,"Porsche 911 Copper Base Shim w/4.213"" ID .010"" thick, Set of 6",$108.75
220, 107-107.50,"Porsche 911 Copper Base Shim w/4.213"" ID .020"" thick, Set of 6",$108.75
221, 107-107.75,"Porsche 911 Copper Base Shim w/4.213"" ID .030"" thick, Set of 6",$108.75
222, 107-109.100,"Porsche 911 Copper Base Shim w/4.292"" ID .040"" thick, Set of 6",$108.75
223, 107-109.25,"Porsche 911 Copper Base Shim w/4.292"" ID .010"" thick, Set of 6",$108.75
224, 107-109.50,"Porsche 911 Copper Base Shim w/4.292"" ID .020"" thick, Set of 6",$108.75
225, 107-109.75,"Porsche 911 Copper Base Shim w/4.292"" ID .030"" thick, Set of 6",$108.75
226, 107-KS,Add Knock Sensor Bosses to Nickies Cylinders,$400.00
227, 304-00-CP,"Custom Six (4) Cylinder CP X-Series Piston set including rings, pins, and clips.","$1,320.00"
228, 306-00,"Custom Six (6) Cylinder JE Piston set including rings, pins, and clips.","$1,375.00"
229, 306-00-CP,"Custom Six (6) Cylinder CP X-Series Piston set including rings, pins, and clips.","$1,975.00"
230, 107-103.100,"Porsche 911 Copper Base Shim w/4.056"" ID .040"" thick, Set of 6",$108.75
231, 107-103.25,"Porsche 911 Copper Base Shim w/4.056"" ID .010"" thick, Set of 6",$108.75
232, 107-103.50,"Porsche 911 Copper Base Shim w/4.056"" ID .020"" thick, Set of 6",$108.75
233, 107-103.75,"Porsche 911 Copper Base Shim w/4.056"" ID .030"" thick, Set of 6",$108.75
234, 107-105.100,"Porsche 911 Copper Base Shim w/4.134"" ID .040"" thick, Set of 6",$108.75
235, 107-105.25,"Porsche 911 Copper Base Shim w/4.134"" ID .010"" thick, Set of 6",$108.75
236, 107-105.50,"Porsche 911 Copper Base Shim w/4.134"" ID .020"" thick, Set of 6",$108.75
237, 107-105.75,"Porsche 911 Copper Base Shim w/4.134"" ID .030"" thick, Set of 6",$108.75
238, 107-106-50.100,"Porsche 911 Copper Base Shim w/4.193"" ID .040"" thick, Set of 6",$108.75
239, 107-106-50.25,"Porsche 911 Copper Base Shim w/4.193"" ID .010"" thick, Set of 6",$108.75
240, 107-106-50.50,"Porsche 911 Copper Base Shim w/4.193"" ID .020"" thick, Set of 6",$108.75
241, 107-106-50.75,"Porsche 911 Copper Base Shim w/4.193"" ID .030"" thick, Set of 6",$108.75
242, 107-107.100,"Porsche 911 Copper Base Shim w/4.213"" ID .040"" thick, Set of 6",$108.75
243, 107-107.25,"Porsche 911 Copper Base Shim w/4.213"" ID .010"" thick, Set of 6",$108.75
244, 107-107.50,"Porsche 911 Copper Base Shim w/4.213"" ID .020"" thick, Set of 6",$108.75
245, 107-107.75,"Porsche 911 Copper Base Shim w/4.213"" ID .030"" thick, Set of 6",$108.75
246, 107-109.100,"Porsche 911 Copper Base Shim w/4.292"" ID .040"" thick, Set of 6",$108.75
247, 107-109.25,"Porsche 911 Copper Base Shim w/4.292"" ID .010"" thick, Set of 6",$108.75
248, 107-109.50,"Porsche 911 Copper Base Shim w/4.292"" ID .020"" thick, Set of 6",$108.75
249, 107-109.75,"Porsche 911 Copper Base Shim w/4.292"" ID .030"" thick, Set of 6",$108.75
250, 107-94-5.100,"Porsche 356 912 base shim for 102-90, 102-91 Nickies, copper .040"", set of 4 pcs",$72.50
251, 107-94-5.25,"Porsche 356 912 base shim for 102-90, 102-91 Nickies, copper .010"", set of 4 pcs",$72.50
252, 107-94-5.50,"Porsche 356 912 base shim for 102-90, 102-91 Nickies, copper .020"", set of 4 pcs",$72.50
253, 107-94-5.75,"Porsche 356 912 base shim for 102-90, 102-91 Nickies, copper .030"", set of 4 pcs",$72.50
