,name,sku,price
64,"Injector Line Set:  All VW Diesels 77-92, Non-Turbo models.", 9619,79.95
65,"Water Pump Housing: Rabbit, Jetta, Golf, Passat & Others 75-99", 1326,44.95
66,Injector Heat Shield: Diesel & Turbo Diesel 77-96, 1428,1.95
67,"Injection Pump: 1.6L Turbo Diesel,  Rabbit 83, Jetta 83-86, Quantum 82-85 - Reman", 9681,699.95
68,"Glow Plug Set: 1.6L Diesel Rabbit, Jetta, Golf 81-92 - Fast", 20747,59.95
69,Diesel Injector Socket: All VW Diesels and Turbo Diesels 77-92, 3477,19.95
70,Vacuum Pump: 1.6L Diesel 81-83, 9228,99.95
71,"Glow Plug Relay: 1.6L Diesel Rabbit, Jetta, Golf 81-92 - Fast", 3420,29.95
72,"Piston Set: 1.6L Diesel - +.020""/.5mm Oversize", 21026,299.95
73,Injector: 1.6L Diesel - New, 10732,79.95
74,"Injection Pump: 1.6L Turbo Diesel, Jetta 85-87 - w/ Idle Lever, Reman", 11139,599.95
75,"Filter Kit: Rabbit, Jetta, Vanagon 81-84 1.6L Diesel - Oil, Air, Fuel", 20029,26.95
76,"Injection Pump: 1.6L Diesel, Jetta, Golf 86-87 - w/Idle Speed Boost Lever - Reman", 5661,549.95
77,Engine Rebuild Kit: 1.6D 12mm Mechanical #2 - Base Kit + STD Pistons, 20242,799.95
78,"Camshaft: 1.5D, 1.6D - Diesel or Turbo Diesel, Mechanical or Hydraulic Lifters, 77-92", 17980,199.95
79,"Throttle Cable: Rabbit, Jetta, Golf & Others 75-92 -  Diesel, Manual Trans", 2459,29.95
80,Oil Baffle: 4 Cylinder Gas & Diesel, 1196,9.95
81,Exhaust Manifold Stud: For All VWs 75-05, 3576,1.95
82,"Intermediate Shaft Bearings: Gas and Diesel 75-99 -  Set of 2, Reamed", 15955,39.95
83,"Engine Rebuild Kit: 1.6D Diesel w/Mech 11mm Head Bolts.  Base kit plus a +.020"" Piston set.", 20622,749.95
84,Turbocharger:1.6TD; Jetta ECOdiesel 91-92 - Reman, 40595,749.95
85,"Piston Set: 1.9L Diesel - +.020""/.5mm Oversize", 20977,499.95
86,"Piston Set: 1.6L Turbo Diesel - +.040""/1mm Oversize", 20613,299.95
87,"Oil Drain Plug: Magnetic, All Water Cooled VW Engines", 18980,9.95
88,Engine Rebuild Kit: 1.6D Diesel w/Mech Head &12mm Head Bolts.  Base Kit plus a std size Piston set & Cyl head., 21367,"1,099.95"
89,"Oil Pump: Rabbit, Jetta, Golf & Others 80-99.5 - Diesel, Aftermarket", 20712,69.95
90,Injector: 1.9L Diesel - New, 16650,99.95
91,"Piston Ring Set: 1.5L, 1.6L & 1.6L Turbo Diesel 77-92 - Standard Size", 1559,39.95
92,"Oil Cooler: Many VW 4 Cyl. water cooled, Gas or Diesel, 83-05", 15359,59.95
93,"Engine Rebuild Kit: 1.6D Diesel w/Mech Head & 11mm Head Bolts.  Base Kit plus a +.020"" Piston set & Cyl head.", 40321,"1,099.95"
94,"Engine Rebuild Kit: 1.6D Diesel w/Mech Head & 11mm Head Bolts.  Base Kit plus a +.040"" Piston set & Cyl head.", 20832,"1,099.95"
95,Hose: Fuel/Vacuum Line - 3.5mm I.D. x 2 meters, 3607,15.95
96,"Diesel Fuel Line: Injection Pump to Fuel Filter, 77-87", 21841,46.95
97,"Injection Pump Seal: VW Diesels 77-96 - Viton, for Biodiesel", 20706,19.95
98,"Fuel Filter: Rabbit, Rabbit Pickup, Dasher Jetta, Vanagon, Quantum 77-84 - Diesel", 1378,10.95
99,"Piston Set: 1.6L Diesel - +.040""/1mm Oversize", 21029,299.95
100,"Compression Tester: Diesel engines 77-95, w/ Adapters", 20580,79.95
101,Diesel Fuel System Purge Cleaner, 3536,19.95
